"","Dw"
"1",0.0244058532535372
"2",0.0244058532535372
"3",0.0244058532535372
"4",0.0244058532535372
"5",0.0261874286504999
"6",0.0261874286504999
"7",0.0261874286504999
"8",0.0261528349534715
"9",0.0261528349534715
"10",0.0261528349534715
"11",0.0261528349534715
"12",0.0261528349534715
"13",0.0292316739889992
"14",0.0292316739889992
"15",0.0292316739889992
"16",0.0292316739889992
"17",0.0313072958107033
"18",0.0322067319334417
"19",0.0322067319334417
"20",0.0377763171550144
"21",0.0377763171550144
"22",0.0448680250458366
"23",0.0467360846853703
"24",0.0505586882070087
"25",0.0523402636039714
"26",0.0536375272425364
"27",0.0536375272425364
"28",0.0536375272425364
"29",0.0536375272425364
"30",0.0557131490642405
"31",0.0557131490642405
"32",0.0557131490642405
"33",0.0566125851869789
"34",0.0554191026394991
"35",0.0554191026394991
"36",0.0566125851869789
"37",0.0553845089424707
"38",0.0574947244612032
"39",0.0574947244612032
"40",0.0574601307641748
"41",0.0574601307641748
"42",0.0583941605839416
"43",0.0576676929463452
"44",0.0583941605839416
"45",0.0589130660393676
"46",0.0614384059224409
"47",0.0609713910125575
"48",0.0670079911440136
"49",0.0670079911440136
"50",0.068339848479607
"51",0.0701214238765697
"52",0.0710208599993081
"53",0.0720586709101602
"54",0.0729235133358702
"55",0.0740996990348359
"56",0.0761753208565399
"57",0.0759677586743695
"58",0.0770747569792784
"59",0.0780433804960736
"60",0.0819005777147404
"61",0.081865984017712
"62",0.0820735461998824
"63",0.0815719375929706
"64",0.0861037119036912
"65",0.0879198809976822
"66",0.0883695990590515
"67",0.0896668626976165
"68",0.0914138443975508
"69",0.0919846403985194
"70",0.0919846403985194
"71",0.0914138443975508
"72",0.0934894662192549
"73",0.0943889023419933
"74",0.0931954197945134
"75",0.093160826097485
"76",0.0945272771301069
"77",0.0955477911924447
"78",0.0944926834330785
"79",0.096170477738956
"80",0.096170477738956
"81",0.0971045075587228
"82",0.0973466634379216
"83",0.0975715224686062
"84",0.100581174110077
"85",0.0992147230774553
"86",0.0987477081675719
"87",0.0987477081675719
"88",0.0993530978655689
"89",0.10236274950704
"90",0.101290344899159
"91",0.102328155810011
"92",0.102328155810011
"93",0.102535717992182
"94",0.104403777631716
"95",0.105130245269312
"96",0.105095651572284
"97",0.106306430968278
"98",0.108053412668212
"99",0.107448022970215
"100",0.107897741031584
"101",0.108831770851351
"102",0.107897741031584
"103",0.110163628186944
"104",0.110163628186944
"105",0.110699830490885
"106",0.111097658006711
"107",0.111305220188882
"108",0.11199709412945
"109",0.11199709412945
"110",0.11393434116304
"111",0.113380842010586
"112",0.114626215103608
"113",0.112879233403674
"114",0.114332168678867
"115",0.115075933164977
"116",0.116355899955028
"117",0.115681322862974
"118",0.116407790500571
"119",0.117151554986681
"120",0.117151554986681
"121",0.117151554986681
"122",0.117151554986681
"123",0.116373196803542
"124",0.117583976199536
"125",0.118483412322275
"126",0.118933130383644
"127",0.118466115473761
"128",0.119832566506383
"129",0.119642301172726
"130",0.120576330992493
"131",0.120576330992493
"132",0.119365551596499
"133",0.122409796934998
"134",0.121008752205348
"135",0.121614141903345
"136",0.120680112083578
"137",0.123257342512194
"138",0.123620576330993
"139",0.122409796934998
"140",0.122842218147853
"141",0.123810841664649
"142",0.124658387241845
"143",0.126768602760577
"144",0.12583457294081
"145",0.127252914518975
"146",0.126439962638807
"147",0.127633445186287
"148",0.127633445186287
"149",0.129138271007023
"150",0.128636662400111
"151",0.128671256097139
"152",0.127581554640744
"153",0.130055003978275
"154",0.130660393676272
"155",0.130660393676272
"156",0.130591206282215
"157",0.131559829799011
"158",0.132580343861348
"159",0.131801985678209
"160",0.132770609195005
"161",0.132269000588093
"162",0.133012765074203
"163",0.134137060227627
"164",0.134655965683053
"165",0.133635451620715
"166",0.135105683744422
"167",0.134361919258311
"168",0.135659182896876
"169",0.136402947382987
"170",0.137423461445325
"171",0.138322897568063
"172",0.13818452277995
"173",0.139568270661086
"174",0.139481786418515
"175",0.138962880963089
"176",0.140813643754108
"177",0.139533676964057
"178",0.140467706783824
"179",0.139014771508631
"180",0.140104472965026
"181",0.14077905005708
"182",0.140433113086796
"183",0.141142283875878
"184",0.141003909087764
"185",0.143338983637181
"186",0.143166015152039
"187",0.14131525236102
"188",0.140761753208565
"189",0.141972532604559
"190",0.143304389940153
"191",0.145414605458885
"192",0.144394091396548
"193",0.14563946448957
"194",0.145085965337116
"195",0.144947590549002
"196",0.146158369944996
"197",0.147490227280589
"198",0.145258933822258
"199",0.145258933822258
"200",0.148164804372643
"201",0.147715086311274
"202",0.148908568858754
"203",0.149808004981492
"204",0.1511571591656
"205",0.149911786072578
"206",0.151520392984398
"207",0.152921437714049
"208",0.152194970076452
"209",0.15300792195662
"210",0.152713875531878
"211",0.15288684401702
"212",0.155498668142664
"213",0.154927872141696
"214",0.154184107655585
"215",0.154184107655585
"216",0.158612100875221
"217",0.158006711177224
"218",0.15894074099699
"219",0.158006711177224
"220",0.159511536997959
"221",0.158958037845505
"222",0.158923444148476
"223",0.16165634621372
"224",0.162261735911717
"225",0.162469298093887
"226",0.163801155429481
"227",0.16544435603833
"228",0.164510326218563
"229",0.162832531912686
"230",0.163264953125541
"231",0.165721105614557
"232",0.165548137129415
"233",0.166810807070952
"234",0.16890372574117
"235",0.168090773861003
"236",0.168523195073858
"237",0.169457224893624
"238",0.169370740651053
"239",0.168332929740201
"240",0.170356661016363
"241",0.170668004289618
"242",0.171602034109385
"243",0.171411768775729
"244",0.171567440412357
"245",0.170460442107448
"246",0.172138236413326
"247",0.172743626111323
"248",0.173677655931089
"249",0.174058186598402
"250",0.172103642716297
"251",0.173435500051891
"252",0.17475006053897
"253",0.175960839934964
"254",0.174767357387484
"255",0.174767357387484
"256",0.17507870066074
"257",0.176721901269589
"258",0.173850624416231
"259",0.175217075448853
"260",0.177828899574498
"261",0.175424637631024
"262",0.175632199813194
"263",0.176427854844847
"264",0.177258103573529
"265",0.179247241152662
"266",0.178503476666551
"267",0.180492614245684
"268",0.179039678970492
"269",0.178468882969523
"270",0.179454803334832
"271",0.180388833154599
"272",0.18080395751894
"273",0.181305566125852
"274",0.179869927699173
"275",0.180786660670426
"276",0.181219081883281
"277",0.182689314006988
"278",0.182135814854534
"279",0.18286228249213
"280",0.184003874494067
"281",0.18286228249213
"282",0.184349811464351
"283",0.184609264192064
"284",0.184228733524752
"285",0.183294703704985
"286",0.185283841284118
"287",0.183035250977272
"288",0.185647075102916
"289",0.18459196734355
"290",0.18492060746532
"291",0.186477323831598
"292",0.186183277406856
"293",0.185906527830629
"294",0.187739993773135
"295",0.189608053412668
"296",0.188016743349362
"297",0.188622133047359
"298",0.18772269692462
"299",0.187670806379078
"300",0.190282630504722
"301",0.190282630504722
"302",0.191009098142318
"303",0.189867506140381
"304",0.189019960563185
"305",0.189486975473069
"306",0.190818832808662
"307",0.192531220811568
"308",0.191597190991801
"309",0.190991801293804
"310",0.190663161172034
"311",0.192358252326426
"312",0.191856643719514
"313",0.192219877538313
"314",0.191337738264088
"315",0.191095582384889
"316",0.19324039160065
"317",0.192842564084824
"318",0.193672812813505
"319",0.192531220811568
"320",0.195021966997613
"321",0.19324039160065
"322",0.192998235721452
"323",0.195212232331269
"324",0.193378766388764
"325",0.194641436330301
"326",0.195143044937212
"327",0.195644653544124
"328",0.194779811118414
"329",0.194779811118414
"330",0.195523575604525
"331",0.196509495969834
"332",0.196007887362922
"333",0.196561386515377
"334",0.195021966997613
"335",0.196111668454008
"336",0.196872729788633
"337",0.19789324385097
"338",0.197927837547999
"339",0.197754869062857
"340",0.198394852457882
"341",0.199640225550905
"342",0.198931054761822
"343",0.199467257065763
"344",0.19962292870239
"345",0.199467257065763
"346",0.201525582038953
"347",0.2006088490677
"348",0.202701767737918
"349",0.204120109316083
"350",0.202701767737918
"351",0.202701767737918
"352",0.20168125367558
"353",0.205054139135849
"354",0.203601203860657
"355",0.202753658283461
"356",0.203601203860657
"357",0.203999031376483
"358",0.204639014771509
"359",0.204483343134881
"360",0.205002248590307
"361",0.204483343134881
"362",0.205728716227903
"363",0.205192513923963
"364",0.207268135745667
"365",0.207787041201093
"366",0.206541668108071
"367",0.206610855502128
"368",0.208167571868406
"369",0.210796692842564
"370",0.209516726052513
"371",0.209568616598056
"372",0.20991455356834
"373",0.211557754177189
"374",0.211592347874217
"375",0.210225896841595
"376",0.210225896841595
"377",0.210502646417823
"378",0.211125332964334
"379",0.212491783996956
"380",0.212543674542498
"381",0.212543674542498
"382",0.212543674542498
"383",0.211211817206905
"384",0.213425813816723
"385",0.214359843636489
"386",0.21456740581866
"387",0.213996609817691
"388",0.214757671152316
"389",0.216072231639395
"390",0.215708997820597
"391",0.216227903276023
"392",0.218199744006642
"393",0.21716193309579
"394",0.216435465458194
"395",0.216003044245339
"396",0.216746808731449
"397",0.217404088974989
"398",0.216037637942367
"399",0.217438682672017
"400",0.216591137094821
"401",0.218182447158128
"402",0.218511087279898
"403",0.216158715881966
"404",0.218701352613554
"405",0.220240772131318
"406",0.220240772131318
"407",0.218580274673954
"408",0.219151070674923
"409",0.220828864980801
"410",0.220828864980801
"411",0.220171584737261
"412",0.221192098799599
"413",0.221019130314457
"414",0.221468848375826
"415",0.222696924620334
"416",0.22288718995399
"417",0.221935863285709
"418",0.224236344138098
"419",0.225914138443976
"420",0.224980108624209
"421",0.223786626076729
"422",0.225256858200436
"423",0.224772546442038
"424",0.224720655896496
"425",0.225204967654893
"426",0.22473795274501
"427",0.22646763759643
"428",0.228231916144878
"429",0.228058947659736
"430",0.227263292628083
"431",0.22819732244785
"432",0.227937869720137
"433",0.227730307537967
"434",0.228007057114194
"435",0.230134569481441
"436",0.229961600996299
"437",0.231034005604179
"438",0.229235133358702
"439",0.229494586086415
"440",0.231535614211091
"441",0.23046320960321
"442",0.231829660635832
"443",0.231864254332861
"444",0.23079184972498
"445",0.233161517971426
"446",0.232729096758571
"447",0.232141003909088
"448",0.231933441726917
"449",0.229909710450756
"450",0.232106410212059
"451",0.231846957484346
"452",0.233974469851593
"453",0.234527969004048
"454",0.235098765005016
"455",0.235358217732729
"456",0.236672778219808
"457",0.236447919189124
"458",0.23630954440101
"459",0.236949527796036
"460",0.238091119797973
"461",0.236344138098039
"462",0.235756045248556
"463",0.235756045248556
"464",0.237208980523749
"465",0.236153872764382
"466",0.237727885979175
"467",0.236257653855468
"468",0.23696682464455
"469",0.23816030719203
"470",0.238246791434601
"471",0.237399245857405
"472",0.238419759919743
"473",0.237589511191061
"474",0.23902514961774
"475",0.238679212647456
"476",0.239146227557339
"477",0.239007852769225
"478",0.237364652160376
"479",0.238454353616771
"480",0.240495381741447
"481",0.240875912408759
"482",0.240132147922649
"483",0.240478084892933
"484",0.240322413256305
"485",0.240478084892933
"486",0.242380738229495
"487",0.243418549140347
"488",0.240305116407791
"489",0.241429411561214
"490",0.2412910367731
"491",0.241636973743384
"492",0.243833673504687
"493",0.241688864288927
"494",0.243729892413602
"495",0.242605597260179
"496",0.244525547445256
"497",0.243833673504687
